record_id,kafka_transit_ms,inference_ms,e2e_ms
REC_0,126.674,9.004,135.678
REC_1,3.005,9.006,12.011
REC_2,3.006,7.497,10.503
REC_3,4.009,8.001,12.010
REC_4,3.010,8.000,11.010
REC_5,2.459,8.999,11.458
REC_6,3.005,8.003,11.008
REC_7,3.013,7.998,11.011
REC_8,3.106,8.512,11.618
REC_9,3.504,7.999,11.503
REC_10,3.572,7.997,11.569
REC_11,3.754,10.092,13.846
REC_12,3.205,8.673,11.878
REC_13,4.544,7.996,12.540
REC_14,4.007,8.997,13.004
REC_15,4.005,11.999,16.004
REC_16,4.011,7.996,12.007
REC_17,4.092,7.005,11.097
REC_18,4.050,6.963,11.013
REC_19,4.017,8.154,12.171
REC_20,3.009,6.998,10.007
REC_21,3.520,7.998,11.518
REC_22,2.590,7.671,10.261
REC_23,3.009,8.505,11.514
REC_24,3.009,7.238,10.247
REC_25,4.215,7.995,12.210
REC_26,2.327,8.584,10.911
REC_27,3.016,7.989,11.005
REC_28,2.013,8.015,10.028
REC_29,2.025,8.089,10.114
REC_30,2.740,7.696,10.436
REC_31,3.005,7.005,10.010
REC_32,3.751,8.222,11.973
REC_33,2.532,8.007,10.539
REC_34,2.845,7.998,10.843
REC_35,3.016,7.002,10.018
REC_36,2.182,8.006,10.188
REC_37,3.019,7.986,11.005
REC_38,2.162,8.998,11.160
REC_39,3.646,8.011,11.657
REC_40,3.006,7.997,11.003
REC_41,2.006,9.007,11.013
REC_42,2.255,9.008,11.263
REC_43,3.011,9.006,12.017
REC_44,3.008,7.007,10.015
REC_45,2.016,9.000,11.016
REC_46,3.005,8.059,11.064
REC_47,2.515,8.000,10.515
REC_48,4.018,8.484,12.502
REC_49,3.010,8.005,11.015
REC_50,5.778,7.749,13.527
REC_51,2.437,9.000,11.437
REC_52,3.448,7.999,11.447
REC_53,4.128,8.005,12.133
REC_54,3.258,7.086,10.344
REC_55,3.023,8.100,11.123
REC_56,3.063,7.970,11.033
REC_57,3.014,7.467,10.481
REC_58,3.008,8.000,11.008
REC_59,3.562,7.999,11.561
REC_60,2.385,7.991,10.376
REC_61,2.808,7.011,9.819
REC_62,3.005,7.007,10.012
REC_63,3.006,8.998,12.004
REC_64,3.008,8.000,11.008
REC_65,3.582,7.998,11.580
REC_66,3.005,7.006,10.011
REC_67,3.002,7.947,10.949
REC_68,2.582,8.002,10.584
REC_69,3.664,8.091,11.755
REC_70,3.533,8.046,11.579
REC_71,2.014,8.006,10.020
REC_72,2.353,7.983,10.336
REC_73,3.149,6.998,10.147
REC_74,3.009,8.752,11.761
REC_75,3.225,7.005,10.230
REC_76,3.011,8.998,12.009
REC_77,4.020,8.547,12.567
REC_78,3.041,9.266,12.307
REC_79,2.520,8.149,10.669
REC_80,3.154,7.999,11.153
REC_81,3.005,8.001,11.006
REC_82,4.009,8.033,12.042
REC_83,3.008,10.007,13.015
REC_84,4.038,7.403,11.441
REC_85,2.017,7.999,10.016
REC_86,3.250,7.964,11.214
REC_87,3.012,7.999,11.011
REC_88,2.012,7.999,10.011
REC_89,2.011,7.998,10.009
REC_90,3.009,8.003,11.012
REC_91,3.015,8.174,11.189
REC_92,2.011,9.508,11.519
REC_93,2.662,8.401,11.063
REC_94,2.758,8.027,10.785
REC_95,4.008,9.016,13.024
REC_96,4.006,9.999,14.005
REC_97,3.007,7.516,10.523
REC_98,2.073,8.008,10.081
REC_99,3.004,8.004,11.008
REC_100,3.004,7.999,11.003
REC_101,3.102,8.009,11.111
REC_102,2.004,9.888,11.892
REC_103,3.822,7.050,10.872
REC_104,4.170,9.507,13.677
REC_105,2.011,9.004,11.015
REC_106,3.319,6.998,10.317
REC_107,4.203,8.428,12.631
REC_108,2.009,8.010,10.019
REC_109,2.536,7.015,9.551
REC_110,2.526,8.011,10.537
REC_111,3.013,7.997,11.010
REC_112,3.005,6.998,10.003
REC_113,1.530,7.998,9.528
REC_114,2.005,10.005,12.010
REC_115,3.005,7.999,11.004
REC_116,2.541,7.986,10.527
REC_117,3.010,8.006,11.016
REC_118,2.009,8.003,10.012
REC_119,3.089,8.512,11.601
REC_120,3.009,8.007,11.016
REC_121,3.004,8.532,11.536
REC_122,3.069,7.940,11.009
REC_123,3.544,7.670,11.214
REC_124,3.010,8.998,12.008
REC_125,2.010,8.085,10.095
REC_126,3.010,7.998,11.008
REC_127,2.463,8.428,10.891
REC_128,2.579,8.375,10.954
REC_129,3.009,9.051,12.060
REC_130,2.012,8.816,10.828
REC_131,3.006,7.511,10.517
REC_132,2.550,8.996,11.546
REC_133,2.852,8.359,11.211
REC_134,3.636,8.029,11.665
REC_135,2.613,7.999,10.612
REC_136,3.016,6.993,10.009
REC_137,2.715,7.982,10.697
REC_138,2.544,8.001,10.545
REC_139,3.096,7.998,11.094
REC_140,2.552,10.533,13.085
REC_141,2.310,7.997,10.307
REC_142,2.197,8.057,10.254
REC_143,2.008,8.075,10.083
REC_144,2.008,8.996,11.004
REC_145,3.081,7.841,10.922
REC_146,2.334,6.595,8.929
REC_147,2.008,8.086,10.094
REC_148,2.498,7.093,9.591
REC_149,2.412,7.995,10.407
REC_150,2.013,9.483,11.496
REC_151,3.010,9.121,12.131
REC_152,3.491,8.083,11.574
REC_153,2.016,7.997,10.013
REC_154,3.017,7.990,11.007
REC_155,3.519,8.996,12.515
REC_156,4.033,9.976,14.009
REC_157,2.375,7.087,9.462
REC_158,4.519,7.997,12.516
REC_159,4.064,8.028,12.092
REC_160,2.565,8.003,10.568
REC_161,3.518,7.000,10.518
REC_162,3.013,8.022,11.035
REC_163,2.007,8.130,10.137
REC_164,4.015,6.999,11.014
REC_165,3.670,8.078,11.748
REC_166,3.009,8.998,12.007
REC_167,2.453,7.858,10.311
REC_168,3.616,6.988,10.604
REC_169,2.005,9.001,11.006
REC_170,2.385,7.998,10.383
REC_171,4.016,8.591,12.607
REC_172,3.035,7.998,11.033
REC_173,2.492,7.992,10.484
REC_174,2.920,6.951,9.871
REC_175,3.015,8.078,11.093
REC_176,2.391,7.591,9.982
REC_177,2.569,7.998,10.567
REC_178,4.013,7.994,12.007
REC_179,2.514,6.997,9.511
REC_180,2.511,7.997,10.508
REC_181,2.708,7.079,9.787
REC_182,2.499,10.038,12.537
REC_183,3.468,6.996,10.464
REC_184,3.017,8.400,11.417
REC_185,3.004,6.999,10.003
REC_186,2.005,8.126,10.131
REC_187,3.037,7.047,10.084
REC_188,3.009,8.089,11.098
REC_189,2.005,7.998,10.003
REC_190,2.008,8.258,10.266
REC_191,2.084,7.998,10.082
REC_192,2.013,9.026,11.039
REC_193,2.271,7.998,10.269
REC_194,2.006,9.025,11.031
REC_195,2.006,8.999,11.005
REC_196,2.006,9.000,11.006
REC_197,2.004,8.012,10.016
REC_198,3.009,7.020,10.029
REC_199,2.018,8.006,10.024
REC_200,2.007,8.005,10.012
REC_201,3.266,8.005,11.271
REC_202,3.128,6.999,10.127
REC_203,3.510,8.999,12.509
REC_204,3.449,8.536,11.985
REC_205,2.060,8.514,10.574
REC_206,2.008,7.999,10.007
REC_207,3.021,9.071,12.092
REC_208,2.474,6.998,9.472
REC_209,4.015,9.041,13.056
REC_210,2.220,9.075,11.295
REC_211,3.463,7.994,11.457
REC_212,3.013,8.001,11.014
REC_213,3.007,8.000,11.007
REC_214,3.011,7.512,10.523
REC_215,2.017,7.999,10.016
REC_216,2.010,8.596,10.606
REC_217,2.306,7.078,9.384
REC_218,2.345,8.510,10.855
REC_219,3.045,8.006,11.051
REC_220,2.096,7.185,9.281
REC_221,3.008,6.999,10.007
REC_222,2.553,7.539,10.092
REC_223,2.025,8.072,10.097
REC_224,2.022,8.086,10.108
REC_225,3.015,7.240,10.255
REC_226,1.509,8.006,9.515
REC_227,2.566,6.997,9.563
REC_228,3.413,8.000,11.413
REC_229,2.514,8.998,11.512
REC_230,2.521,8.107,10.628
REC_231,2.568,8.001,10.569
REC_232,2.010,8.007,10.017
REC_233,2.008,7.997,10.005
REC_234,2.089,7.917,10.006
REC_235,3.009,9.010,12.019
REC_236,2.337,7.999,10.336
REC_237,2.385,8.000,10.385
REC_238,3.012,6.999,10.011
REC_239,2.005,8.006,10.011
REC_240,2.493,9.591,12.084
REC_241,3.463,7.998,11.461
REC_242,3.011,7.999,11.010
REC_243,3.511,11.001,14.512
REC_244,2.275,7.995,10.270
REC_245,2.383,8.520,10.903
REC_246,2.017,8.004,10.021
REC_247,3.516,6.998,10.514
REC_248,5.171,7.274,12.445
REC_249,2.416,7.998,10.414
REC_250,3.525,7.000,10.525
REC_251,2.295,7.999,10.294
REC_252,2.468,7.999,10.467
REC_253,2.515,7.998,10.513
REC_254,3.028,8.013,11.041
REC_255,2.442,7.999,10.441
REC_256,2.008,8.000,10.008
REC_257,3.021,6.988,10.009
REC_258,2.006,8.005,10.011
REC_259,4.356,18.142,22.498
REC_260,4.014,8.992,13.006
REC_261,2.011,8.999,11.010
REC_262,4.017,8.997,13.014
REC_263,4.068,8.121,12.189
REC_264,2.006,8.005,10.011
REC_265,3.015,8.558,11.573
REC_266,2.609,9.089,11.698
REC_267,2.015,8.148,10.163
REC_268,2.014,8.081,10.095
REC_269,1.339,9.125,10.464
REC_270,2.006,9.005,11.011
REC_271,2.356,7.845,10.201
REC_272,2.529,8.025,10.554
REC_273,2.519,8.312,10.831
REC_274,2.062,8.082,10.144
REC_275,2.534,7.126,9.660
REC_276,2.520,7.999,10.519
REC_277,3.068,8.006,11.074
REC_278,3.013,8.000,11.013
REC_279,3.072,8.448,11.520
REC_280,2.008,6.999,9.007
REC_281,1.560,8.003,9.563
REC_282,2.443,7.491,9.934
REC_283,3.007,14.004,17.011
REC_284,4.005,17.637,21.642
REC_285,3.030,9.990,13.020
REC_286,3.019,7.984,11.003
REC_287,1.875,6.997,8.872
REC_288,2.005,8.001,10.006
REC_289,2.116,10.909,13.025
REC_290,2.006,9.999,12.005
REC_291,2.009,7.998,10.007
REC_292,2.028,7.999,10.027
REC_293,2.005,10.000,12.005
REC_294,3.005,10.004,13.009
REC_295,3.012,7.991,11.003
REC_296,2.511,9.444,11.955
REC_297,2.013,8.501,10.514
REC_298,2.104,7.903,10.007
REC_299,2.508,7.636,10.144
REC_300,2.006,8.000,10.006
REC_301,2.013,10.758,12.771
REC_302,1.509,8.094,9.603
REC_303,2.004,8.661,10.665
REC_304,1.142,9.003,10.145
REC_305,2.016,7.676,9.692
REC_306,2.517,8.993,11.510
REC_307,2.098,7.518,9.616
REC_308,2.006,8.101,10.107
REC_309,3.516,8.078,11.594
REC_310,2.023,8.002,10.025
REC_311,2.512,7.999,10.511
REC_312,3.011,7.998,11.009
REC_313,2.016,8.996,11.012
REC_314,2.128,8.835,10.963
REC_315,2.006,7.997,10.003
REC_316,3.005,7.999,11.004
REC_317,2.277,8.000,10.277
REC_318,3.014,8.329,11.343
REC_319,2.105,8.318,10.423
REC_320,1.697,8.944,10.641
REC_321,2.004,8.096,10.100
REC_322,2.008,10.449,12.457
REC_323,2.369,8.662,11.031
REC_324,2.535,8.005,10.540
REC_325,2.006,7.998,10.004
REC_326,1.656,8.977,10.633
REC_327,2.192,11.731,13.923
REC_328,2.006,9.005,11.011
REC_329,2.678,6.983,9.661
REC_330,3.307,8.011,11.318
REC_331,2.007,9.131,11.138
REC_332,2.511,6.998,9.509
REC_333,2.565,7.035,9.600
REC_334,2.481,7.961,10.442
REC_335,2.181,7.937,10.118
REC_336,1.533,8.997,10.530
REC_337,2.499,8.079,10.578
REC_338,2.005,7.718,9.723
REC_339,3.444,8.006,11.450
REC_340,3.016,8.077,11.093
REC_341,2.441,8.175,10.616
REC_342,1.678,8.093,9.771
REC_343,3.021,7.713,10.734
REC_344,2.009,7.995,10.004
REC_345,2.058,8.091,10.149
REC_346,2.719,8.000,10.719
REC_347,2.835,7.917,10.752
REC_348,1.554,7.998,9.552
REC_349,2.009,9.059,11.068
REC_350,3.609,7.145,10.754
REC_351,2.006,7.998,10.004
REC_352,3.012,7.995,11.007
REC_353,4.017,8.070,12.087
REC_354,2.309,8.418,10.727
REC_355,2.007,8.999,11.006
REC_356,3.014,9.144,12.158
REC_357,3.038,7.089,10.127
REC_358,2.511,8.002,10.513
REC_359,3.522,7.997,11.519
REC_360,3.014,9.105,12.119
REC_361,2.009,8.092,10.101
REC_362,2.335,8.004,10.339
REC_363,3.188,8.997,12.185
REC_364,2.510,7.875,10.385
REC_365,2.433,7.592,10.025
REC_366,2.366,7.766,10.132
REC_367,2.457,8.012,10.469
REC_368,2.151,8.003,10.154
REC_369,2.021,7.988,10.009
REC_370,2.280,6.997,9.277
REC_371,3.396,8.007,11.403
REC_372,2.492,8.731,11.223
REC_373,2.112,8.003,10.115
REC_374,2.634,7.504,10.138
REC_375,3.495,7.997,11.492
REC_376,2.007,8.513,10.520
REC_377,2.018,12.999,15.017
REC_378,3.075,10.637,13.712
REC_379,3.009,8.995,12.004
REC_380,2.527,7.525,10.052
REC_381,3.024,9.073,12.097
REC_382,4.747,9.967,14.714
REC_383,3.564,8.634,12.198
REC_384,3.521,9.004,12.525
REC_385,2.010,6.999,9.009
REC_386,2.007,7.151,9.158
REC_387,2.143,8.000,10.143
REC_388,3.015,7.762,10.777
REC_389,2.014,8.078,10.092
REC_390,2.495,8.067,10.562
REC_391,3.719,7.082,10.801
REC_392,2.545,6.997,9.542
REC_393,1.214,8.746,9.960
REC_394,3.024,6.990,10.014
REC_395,2.053,7.003,9.056
REC_396,2.033,7.981,10.014
REC_397,2.122,7.997,10.119
REC_398,2.160,8.536,10.696
REC_399,3.495,7.069,10.564
REC_400,3.041,6.996,10.037
REC_401,2.015,7.999,10.014
REC_402,2.015,8.086,10.101
REC_403,2.291,8.006,10.297
REC_404,1.344,9.069,10.413
REC_405,1.688,9.085,10.773
REC_406,1.596,10.296,11.892
REC_407,2.086,8.154,10.240
REC_408,2.006,8.005,10.011
REC_409,2.482,8.092,10.574
REC_410,2.436,7.451,9.887
REC_411,2.438,7.461,9.899
REC_412,3.012,7.996,11.008
REC_413,2.009,8.080,10.089
REC_414,2.164,7.997,10.161
REC_415,2.017,8.999,11.016
REC_416,2.008,8.077,10.085
REC_417,1.405,9.010,10.415
REC_418,2.516,9.248,11.764
REC_419,2.010,7.997,10.007
REC_420,3.066,7.946,11.012
REC_421,1.423,9.054,10.477
REC_422,2.005,7.663,9.668
REC_423,2.010,8.019,10.029
REC_424,2.007,8.085,10.092
REC_425,2.580,7.999,10.579
REC_426,2.008,8.001,10.009
REC_427,2.014,8.282,10.296
REC_428,1.398,8.007,9.405
REC_429,3.011,8.009,11.020
REC_430,2.514,7.095,9.609
REC_431,4.021,8.085,12.106
REC_432,2.017,9.002,11.019
REC_433,2.010,8.822,10.832
REC_434,2.159,8.000,10.159
REC_435,3.013,9.349,12.362
REC_436,2.115,8.984,11.099
REC_437,2.008,8.014,10.022
REC_438,3.011,6.996,10.007
REC_439,3.015,8.163,11.178
REC_440,2.020,6.999,9.019
REC_441,2.490,8.705,11.195
REC_442,2.421,8.015,10.436
REC_443,2.095,8.012,10.107
REC_444,3.515,8.202,11.717
REC_445,2.515,9.004,11.519
REC_446,1.413,9.014,10.427
REC_447,2.019,9.003,11.022
REC_448,2.006,8.147,10.153
REC_449,2.006,8.633,10.639
REC_450,2.019,8.989,11.008
REC_451,2.520,8.010,10.530
REC_452,2.051,6.999,9.050
REC_453,2.011,8.108,10.119
REC_454,2.009,7.999,10.008
REC_455,2.055,8.325,10.380
REC_456,2.010,7.499,9.509
REC_457,2.006,8.519,10.525
REC_458,2.010,9.001,11.011
REC_459,2.009,7.251,9.260
REC_460,2.407,7.997,10.404
REC_461,2.662,8.514,11.176
REC_462,2.009,7.527,9.536
REC_463,4.534,8.258,12.792
REC_464,2.657,8.908,11.565
REC_465,3.162,8.004,11.166
REC_466,2.075,7.952,10.027
REC_467,2.316,7.004,9.320
REC_468,1.452,8.554,10.006
REC_469,3.113,7.007,10.120
REC_470,2.467,6.915,9.382
REC_471,2.323,8.083,10.406
REC_472,2.095,8.970,11.065
REC_473,2.664,8.001,10.665
REC_474,3.120,7.004,10.124
REC_475,2.550,8.938,11.488
REC_476,2.368,8.003,10.371
REC_477,2.016,7.998,10.014
REC_478,2.010,8.330,10.340
REC_479,2.519,9.012,11.531
REC_480,3.015,8.137,11.152
REC_481,2.192,7.078,9.270
REC_482,2.463,7.004,9.467
REC_483,3.019,8.995,12.014
REC_484,3.016,8.996,12.012
REC_485,2.004,7.999,10.003
REC_486,2.065,7.295,9.360
REC_487,2.011,7.999,10.010
REC_488,2.445,8.008,10.453
REC_489,1.420,8.085,9.505
REC_490,2.513,7.999,10.512
REC_491,2.525,8.990,11.515
REC_492,2.474,8.076,10.550
REC_493,2.487,8.026,10.513
REC_494,2.661,7.097,9.758
REC_495,4.017,8.088,12.105
REC_496,2.143,6.998,9.141
REC_497,2.507,6.999,9.506
REC_498,2.017,8.460,10.477
REC_499,3.011,8.076,11.087
REC_500,2.523,9.086,11.609
REC_501,1.524,8.003,9.527
REC_502,2.254,7.999,10.253
REC_503,3.032,11.026,14.058
REC_504,2.004,6.999,9.003
REC_505,2.204,7.986,10.190
REC_506,2.015,9.176,11.191
REC_507,2.008,7.998,10.006
REC_508,1.378,8.001,9.379
REC_509,2.575,8.997,11.572
REC_510,2.558,10.996,13.554
REC_511,3.541,8.004,11.545
REC_512,2.345,7.003,9.348
REC_513,2.092,8.005,10.097
REC_514,3.037,7.996,11.033
REC_515,2.289,7.997,10.286
REC_516,2.509,7.999,10.508
REC_517,3.036,7.086,10.122
REC_518,1.301,7.998,9.299
REC_519,2.325,8.008,10.333
REC_520,2.634,7.986,10.620
REC_521,2.005,7.381,9.386
REC_522,1.424,8.005,9.429
REC_523,2.011,7.996,10.007
REC_524,2.014,8.005,10.019
REC_525,1.264,8.005,9.269
REC_526,2.004,8.508,10.512
REC_527,1.012,8.255,9.267
REC_528,1.055,8.199,9.254
REC_529,2.605,8.374,10.979
REC_530,2.519,8.998,11.517
REC_531,3.011,8.506,11.517
REC_532,1.583,8.975,10.558
REC_533,2.201,7.997,10.198
REC_534,2.005,7.998,10.003
REC_535,1.511,8.999,10.510
REC_536,1.650,9.004,10.654
REC_537,3.097,8.995,12.092
REC_538,2.692,7.951,10.643
REC_539,2.016,7.996,10.012
REC_540,2.481,7.866,10.347
REC_541,2.014,9.328,11.342
REC_542,2.371,8.028,10.399
REC_543,2.530,9.081,11.611
REC_544,2.077,7.225,9.302
REC_545,1.206,7.994,9.200
REC_546,2.367,7.164,9.531
REC_547,2.006,8.081,10.087
REC_548,2.024,8.001,10.025
REC_549,2.564,7.952,10.516
REC_550,1.558,8.078,9.636
REC_551,2.006,7.998,10.004
REC_552,1.606,31.686,33.292
REC_553,2.670,8.000,10.670
REC_554,1.541,8.001,9.542
REC_555,1.611,8.906,10.517
REC_556,2.560,8.181,10.741
REC_557,2.006,6.997,9.003
REC_558,2.313,6.919,9.232
REC_559,2.009,9.084,11.093
REC_560,2.005,8.659,10.664
REC_561,2.408,6.999,9.407
