record_id,timestamp_received,logistic_pred,svm_pred,rf_pred,final_vote,confidence_score
REC_0,2026-05-17T11:00:30.250481,1,1,1,1,0.8893
REC_1,2026-05-17T11:00:30.296503,1,1,1,1,0.9955
REC_2,2026-05-17T11:00:30.347790,1,1,1,1,0.9905
REC_3,2026-05-17T11:00:30.399715,1,1,1,1,0.9504
REC_4,2026-05-17T11:00:30.449729,1,1,1,1,0.9503
REC_5,2026-05-17T11:00:30.499807,1,0,1,1,0.4598
REC_6,2026-05-17T11:00:30.551024,1,1,1,1,0.9593
REC_7,2026-05-17T11:00:30.601691,1,0,0,0,0.5644
REC_8,2026-05-17T11:00:30.652801,1,1,1,1,0.9644
REC_9,2026-05-17T11:00:30.704026,1,1,1,1,0.8260
REC_10,2026-05-17T11:00:30.754683,1,1,1,1,0.9384
REC_11,2026-05-17T11:00:30.805499,0,1,1,1,0.7279
REC_12,2026-05-17T11:00:30.856295,1,1,1,1,0.9036
REC_13,2026-05-17T11:00:30.908054,1,1,1,1,0.9345
REC_14,2026-05-17T11:00:30.958330,1,1,1,1,0.9990
REC_15,2026-05-17T11:00:31.009352,1,1,1,1,0.9735
REC_16,2026-05-17T11:00:31.059890,1,1,1,1,0.9418
REC_17,2026-05-17T11:00:31.110407,1,1,1,1,0.9932
REC_18,2026-05-17T11:00:31.160991,1,1,1,1,0.8606
REC_19,2026-05-17T11:00:31.212300,1,1,1,1,0.9843
REC_20,2026-05-17T11:00:31.262249,0,0,0,0,0.7879
REC_21,2026-05-17T11:00:31.313624,1,1,1,1,0.9595
REC_22,2026-05-17T11:00:31.363196,1,1,1,1,0.9853
REC_23,2026-05-17T11:00:31.414705,1,1,1,1,0.7685
REC_24,2026-05-17T11:00:31.465532,0,0,1,0,0.6264
REC_25,2026-05-17T11:00:31.517488,1,1,1,1,0.9594
REC_26,2026-05-17T11:00:31.566387,0,0,1,0,0.6264
REC_27,2026-05-17T11:00:31.617728,1,1,1,1,0.9420
REC_28,2026-05-17T11:00:31.667642,1,1,1,1,0.7832
REC_29,2026-05-17T11:00:31.718435,1,1,1,1,0.9667
REC_30,2026-05-17T11:00:31.769648,0,0,1,0,0.5883
REC_31,2026-05-17T11:00:31.820530,1,1,1,1,0.9260
REC_32,2026-05-17T11:00:31.871780,1,1,1,1,0.9713
REC_33,2026-05-17T11:00:31.921554,1,1,1,1,0.7007
REC_34,2026-05-17T11:00:31.972610,0,0,0,0,0.9065
REC_35,2026-05-17T11:00:32.023164,0,0,1,0,0.3896
REC_36,2026-05-17T11:00:32.073920,1,1,1,1,0.9825
REC_37,2026-05-17T11:00:32.125389,1,1,1,1,0.9995
REC_38,2026-05-17T11:00:32.175060,1,1,1,1,0.9219
REC_39,2026-05-17T11:00:32.226922,1,1,1,1,0.9310
REC_40,2026-05-17T11:00:32.276809,1,1,1,1,0.9587
REC_41,2026-05-17T11:00:32.326755,1,1,1,1,0.9730
REC_42,2026-05-17T11:00:32.377721,1,1,1,1,0.9746
REC_43,2026-05-17T11:00:32.429091,1,1,1,1,0.8453
REC_44,2026-05-17T11:00:32.479835,1,1,1,1,0.9870
REC_45,2026-05-17T11:00:32.529519,1,1,1,1,0.9995
REC_46,2026-05-17T11:00:32.581067,1,1,1,1,0.9906
REC_47,2026-05-17T11:00:32.631339,1,1,1,1,0.9559
REC_48,2026-05-17T11:00:32.683546,1,1,1,1,0.9999
REC_49,2026-05-17T11:00:32.733684,1,1,1,1,0.9374
REC_50,2026-05-17T11:00:32.786925,1,1,1,1,0.9151
REC_51,2026-05-17T11:00:32.834294,1,1,1,1,0.9975
REC_52,2026-05-17T11:00:32.885998,1,1,1,1,0.8168
REC_53,2026-05-17T11:00:32.937332,1,1,1,1,0.8124
REC_54,2026-05-17T11:00:32.987383,1,1,1,1,0.9976
REC_55,2026-05-17T11:00:33.037964,1,1,1,1,0.9061
REC_56,2026-05-17T11:00:33.088725,1,1,1,1,0.9970
REC_57,2026-05-17T11:00:33.139666,1,1,1,1,0.7866
