record_id,timestamp_sent,true_label,source
REC_0,2026-05-17T11:00:30.123807,1,uci
REC_1,2026-05-17T11:00:30.293498,1,uci
REC_2,2026-05-17T11:00:30.344784,1,uci
REC_3,2026-05-17T11:00:30.395706,1,uci
REC_4,2026-05-17T11:00:30.446719,1,uci
REC_5,2026-05-17T11:00:30.497348,1,uci
REC_6,2026-05-17T11:00:30.548019,1,uci
REC_7,2026-05-17T11:00:30.598678,1,uci
REC_8,2026-05-17T11:00:30.649695,1,uci
REC_9,2026-05-17T11:00:30.700522,1,uci
REC_10,2026-05-17T11:00:30.751111,1,uci
REC_11,2026-05-17T11:00:30.801745,1,uci
REC_12,2026-05-17T11:00:30.853090,1,uci
REC_13,2026-05-17T11:00:30.903510,1,uci
REC_14,2026-05-17T11:00:30.954323,1,uci
REC_15,2026-05-17T11:00:31.005347,1,uci
REC_16,2026-05-17T11:00:31.055879,1,uci
REC_17,2026-05-17T11:00:31.106315,1,uci
REC_18,2026-05-17T11:00:31.156941,1,uci
REC_19,2026-05-17T11:00:31.208283,1,uci
REC_20,2026-05-17T11:00:31.259240,1,uci
REC_21,2026-05-17T11:00:31.310104,1,uci
REC_22,2026-05-17T11:00:31.360606,1,uci
REC_23,2026-05-17T11:00:31.411696,1,uci
REC_24,2026-05-17T11:00:31.462523,1,uci
REC_25,2026-05-17T11:00:31.513273,1,uci
REC_26,2026-05-17T11:00:31.564060,1,uci
REC_27,2026-05-17T11:00:31.614712,1,uci
REC_28,2026-05-17T11:00:31.665629,1,uci
REC_29,2026-05-17T11:00:31.716410,1,uci
REC_30,2026-05-17T11:00:31.766908,1,uci
REC_31,2026-05-17T11:00:31.817525,1,uci
REC_32,2026-05-17T11:00:31.868029,1,uci
REC_33,2026-05-17T11:00:31.919022,1,uci
REC_34,2026-05-17T11:00:31.969765,1,uci
REC_35,2026-05-17T11:00:32.020148,1,uci
REC_36,2026-05-17T11:00:32.071738,1,uci
REC_37,2026-05-17T11:00:32.122370,1,uci
REC_38,2026-05-17T11:00:32.172898,1,uci
REC_39,2026-05-17T11:00:32.223276,1,uci
REC_40,2026-05-17T11:00:32.273803,1,uci
REC_41,2026-05-17T11:00:32.324749,1,uci
REC_42,2026-05-17T11:00:32.375466,1,uci
REC_43,2026-05-17T11:00:32.426080,1,uci
REC_44,2026-05-17T11:00:32.476827,1,uci
REC_45,2026-05-17T11:00:32.527503,1,uci
REC_46,2026-05-17T11:00:32.578062,1,uci
REC_47,2026-05-17T11:00:32.628824,1,uci
REC_48,2026-05-17T11:00:32.679528,1,uci
REC_49,2026-05-17T11:00:32.730674,1,uci
REC_50,2026-05-17T11:00:32.781147,1,uci
REC_51,2026-05-17T11:00:32.831857,1,uci
REC_52,2026-05-17T11:00:32.882550,1,uci
REC_53,2026-05-17T11:00:32.933204,1,uci
REC_54,2026-05-17T11:00:32.984125,1,uci
REC_55,2026-05-17T11:00:33.034941,1,uci
REC_56,2026-05-17T11:00:33.085662,1,uci
REC_57,2026-05-17T11:00:33.136652,1,uci
REC_58,2026-05-17T11:00:33.187505,1,uci
REC_59,2026-05-17T11:00:33.238159,1,uci
REC_60,2026-05-17T11:00:33.289006,1,uci
